Model_Vec,class,f1_score,precision,recall,support,time_secs
"KNN, Count Vectors:",    0,0.4,0.26,0.91,33,0.5477709089755081
"KNN, Count Vectors:",    1,0.55,0.53,0.58,104,0.5477709089755081
"KNN, Count Vectors:",    2,0.35,0.41,0.3,239,0.5477709089755081
"KNN, Count Vectors:",    3,0.27,0.99,0.16,652,0.5477709089755081
"KNN, Count Vectors:",    4,0.4,0.26,0.88,26,0.5477709089755081
"KNN, Count Vectors:",    5,0.69,0.63,0.77,77,0.5477709089755081
"KNN, Count Vectors:",    6,0.15,0.08,0.89,9,0.5477709089755081
"KNN, Count Vectors:",    7,0.04,0.02,1.0,2,0.5477709089755081
"KNN, Count Vectors:",    8,0.42,0.4,0.44,167,0.5477709089755081
"KNN, Count Vectors:",    9,0.37,0.29,0.5,96,0.5477709089755081
"KNN, Count Vectors:",   10,0.23,0.13,0.86,29,0.5477709089755081
"KNN, Count Vectors Char: ",    0,0.26,0.4,0.2,241,0.5971203020308167
"KNN, Count Vectors Char: ",    1,0.37,0.47,0.3,179,0.5971203020308167
"KNN, Count Vectors Char: ",    2,0.27,0.3,0.25,214,0.5971203020308167
"KNN, Count Vectors Char: ",    3,0.46,0.49,0.44,117,0.5971203020308167
"KNN, Count Vectors Char: ",    4,0.13,0.11,0.15,68,0.5971203020308167
"KNN, Count Vectors Char: ",    5,0.22,0.2,0.24,80,0.5971203020308167
"KNN, Count Vectors Char: ",    6,0.13,0.09,0.23,40,0.5971203020308167
"KNN, Count Vectors Char: ",    7,0.09,0.08,0.12,64,0.5971203020308167
"KNN, Count Vectors Char: ",    8,0.21,0.2,0.22,165,0.5971203020308167
"KNN, Count Vectors Char: ",    9,0.21,0.19,0.24,129,0.5971203020308167
"KNN, Count Vectors Char: ",   10,0.22,0.19,0.26,137,0.5971203020308167
"KNN, WordLevel TF-IDF: ",    0,0.79,0.94,0.69,160,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    1,0.8,0.79,0.8,112,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    2,0.7,0.85,0.6,253,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    3,0.85,0.93,0.78,125,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    4,0.73,0.8,0.68,103,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    5,0.77,0.88,0.69,121,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    6,0.6,0.55,0.67,81,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    7,0.34,0.24,0.61,41,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    8,0.5,0.43,0.6,133,0.4890843899920583
"KNN, WordLevel TF-IDF: ",    9,0.68,0.64,0.72,145,0.4890843899920583
"KNN, WordLevel TF-IDF: ",   10,0.59,0.55,0.64,160,0.4890843899920583
"KNN, N-Gram Vectors: ",    0,0.79,0.83,0.75,130,0.2493633070262149
"KNN, N-Gram Vectors: ",    1,0.8,0.82,0.78,121,0.2493633070262149
"KNN, N-Gram Vectors: ",    2,0.69,0.81,0.6,237,0.2493633070262149
"KNN, N-Gram Vectors: ",    3,0.85,0.93,0.79,123,0.2493633070262149
"KNN, N-Gram Vectors: ",    4,0.76,0.9,0.66,119,0.2493633070262149
"KNN, N-Gram Vectors: ",    5,0.77,0.84,0.72,110,0.2493633070262149
"KNN, N-Gram Vectors: ",    6,0.61,0.55,0.69,78,0.2493633070262149
"KNN, N-Gram Vectors: ",    7,0.42,0.28,0.85,34,0.2493633070262149
"KNN, N-Gram Vectors: ",    8,0.56,0.51,0.64,148,0.2493633070262149
"KNN, N-Gram Vectors: ",    9,0.64,0.58,0.72,132,0.2493633070262149
"KNN, N-Gram Vectors: ",   10,0.64,0.67,0.62,202,0.2493633070262149
"KNN, CharLevel Vectors: ",    0,0.79,0.83,0.75,130,0.2490985940094106
"KNN, CharLevel Vectors: ",    1,0.8,0.82,0.78,121,0.2490985940094106
"KNN, CharLevel Vectors: ",    2,0.69,0.81,0.6,237,0.2490985940094106
"KNN, CharLevel Vectors: ",    3,0.85,0.93,0.79,123,0.2490985940094106
"KNN, CharLevel Vectors: ",    4,0.76,0.9,0.66,119,0.2490985940094106
"KNN, CharLevel Vectors: ",    5,0.77,0.84,0.72,110,0.2490985940094106
"KNN, CharLevel Vectors: ",    6,0.61,0.55,0.69,78,0.2490985940094106
"KNN, CharLevel Vectors: ",    7,0.42,0.28,0.85,34,0.2490985940094106
"KNN, CharLevel Vectors: ",    8,0.56,0.51,0.64,148,0.2490985940094106
"KNN, CharLevel Vectors: ",    9,0.64,0.58,0.72,132,0.2490985940094106
"KNN, CharLevel Vectors: ",   10,0.64,0.67,0.62,202,0.2490985940094106
