,total_docs,dups,zero_vals,vocab_raw,vocab_proc,min_doc_len,max_doc_len,mean_len,std
climate,2685,0,0,13438,8708,85,6550,637,490
eu,921,0,0,8408,5836,67,2510,349,308
bbc,2112,1,0,29342,21603,283,8814,1250,665
climate_bbc,4217,0,0,34358,25141,71,8775,933,652
eu_bbc,1810,0,0,25136,18361,100,8714,792,658
spam,4889,25,1,8633,5828,0,356,34,27
newsgroups,10612,0,0,91637,51235,74,9891,731,841
reuters,9112,8,0,30103,21461,59,5532,505,496
science,5733,0,0,42109,29904,109,2586,897,292
climate_science,5370,0,0,34568,24323,85,6550,770,425
eu_science,1842,0,0,20857,14791,67,2510,621,403
